od_pair,count
EDDB-EFHK,816
LSZH-LGAV,815
LGAV-LTFM,813
LEBL-EDDL,813
LIPE-LEBL,813
EGBB-EGAA,812
LLBG-LEMD,812
ESSA-LSZH,812
LSZH-ESSA,811
EBBR-LIRF,810
LICJ-LIRF,810
ENBR-EHAM,810
LIME-EGSS,809
LEIB-EHAM,808
EGAA-EGBB,808
LLBG-EHAM,807
ENBR-ENCN,803
EDDB-ESSA,803
LHBP-LTFM,802
EHAM-ENBR,802
LEPA-LEZL,802
EHAM-ENZV,801
LEZL-LEPA,800
EGKK-LMML,799
EDDM-ELLX,799
EGSS-LIME,799
EGSS-LHBP,798
ESGG-ESSB,798
LOWW-LTFM,798
LSZH-EBBR,797
LIMC-EDDM,797
EDDL-EDDB,797
EGKK-EGPH,796
EGAC-EGCC,796
ESSB-ESGG,796
EGNM-LEPA,795
EDDB-EDDL,795
EGNT-EHAM,795
ESSA-EDDB,793
EBBR-LSGG,793
LEMD-LEZL,792
EGAA-EGKK,792
EHAM-LPPR,791
EFHK-ESGG,790
LIRF-LPPT,789
LHBP-EDDM,788
EPWA-EBBR,788
LPPR-EHAM,788
LEAL-ENGM,788
LIMC-LTFM,788
EKCH-EDDH,787
EDDM-LIMC,787
ENGM-LEAL,787
LPPR-LFPG,786
LEMD-LOWW,785
LIMC-LSZH,785
EIDW-EGGW,785
ENFL-ENBR,784
EDDF-LGAV,783
EDDH-EKCH,782
LFPO-LFML,781
LEPA-EGNM,779
EGLL-LIMC,779
EBBR-LOWW,778
LIPE-LFPG,777
LIPZ-EGLL,777
EHAM-EGNT,776
EDDF-LIPZ,775
EKRN-EKCH,775
LFPG-LIPE,774
LIPQ-LIRF,774
EIDW-LSZH,772
LTFM-EDDB,769
EDDM-EDDS,768
EDDL-LTFM,768
EGPH-LFPG,766
LTFM-EBBR,765
EDDB-EIDW,763
ESGG-EFHK,762
LHBP-LLBG,761
EIDW-EDDB,760
EGPF-EGAA,760
LFPG-LPPR,760
LIMF-LIRF,760
EGGW-LEMG,759
EGBB-LFPG,759
EGGW-EGAA,759
EGGD-LPFR,759
LSZH-EIDW,758
EGLC-EIDW,758
LIPZ-EDDF,758
LEAL-ESSA,757
LFPG-EGBB,757
LSGG-EGKK,756
EGAA-EGGW,756
LFPG-LFRB,755
LIMJ-LIRF,755
LPPT-EGGW,755
EGGW-LROP,754
EDDF-EGCC,753
LPPT-LIRF,752
LIRF-LIPQ,752
LFPG-LFBZ,750
EGCC-LEIB,750
LPFR-EGGD,749
LOWW-LBSF,748
LTFM-LHBP,748
LROP-EGGW,748
EGGW-LPPT,747
ESSA-LEAL,747
EDDG-EDDM,746
LROP-LLBG,746
EDDM-LHBP,744
LEMG-EBBR,743
EHAM-EKYT,739
